,Class
173884,1
111867,0
78582,0
51066,0
179076,1
120002,1
119785,1
45789,0
15654,0
133930,1
38613,0
77869,0
14240,0
32584,0
162191,1
134421,1
109493,0
60789,0
115097,0
45253,1
103225,1
128712,1
146970,1
69675,0
10328,0
6919,0
132227,1
182669,1
139368,1
22576,0
140186,1
147693,1
182080,1
1181,0
9511,1
69153,0
174503,1
130253,1
130444,1
168579,1
180628,1
213084,1
22261,0
141297,1
194846,1
142943,1
211453,1
144920,1
206498,1
74685,0
59896,0
42960,0
198655,1
153662,1
7505,0
37182,0
206438,1
201768,1
109662,0
105829,0
60755,0
36835,0
145945,1
61014,0
211623,1
19962,0
65145,1
74865,0
134372,1
47823,0
121417,1
182101,1
118953,1
208002,1
196918,1
139207,1
191817,1
205707,1
108533,0
114865,1
140139,1
211119,1
181266,1
59909,0
479,0
85491,0
118749,1
15122,0
174441,1
171667,1
158661,1
65801,0
111762,0
117631,1
194146,1
173735,1
60573,0
177351,1
161469,1
207010,1
30354,1
108038,0
116624,0
92222,0
99193,0
109621,0
84488,0
75436,0
35736,0
22384,0
35338,0
106794,0
203741,1
183666,1
22668,1
187403,1
117751,1
119706,1
142638,1
104212,0
47992,0
2344,0
206716,1
31311,0
80997,0
65462,0
21186,1
134033,1
124421,1
110921,0
165235,1
77058,0
78164,0
12462,0
146961,1
200490,1
59366,0
44184,0
156302,1
163685,1
4532,0
180743,1
43883,0
192619,1
199758,1
57998,0
70950,0
184262,1
169876,1
196450,1
134232,1
113160,0
124499,1
55583,0
66284,0
96376,1
197616,1
31680,0
75389,0
153754,1
40154,0
1178,0
95908,0
153072,1
160268,1
190727,1
132097,1
35321,0
53518,0
152407,1
128521,1
144793,1
122601,1
208614,1
175777,1
165323,1
98166,0
107485,0
14077,0
17731,0
59195,0
130152,1
107944,0
39068,0
111801,0
151232,1
641,0
14115,0
12421,1
23169,0
150628,1
140855,1
132343,1
80719,0
186039,1
127862,1
135725,1
110346,0
184944,1
200741,1
104759,1
45623,0
39431,0
121812,1
48670,0
130308,1
76648,0
113760,0
99564,0
197677,1
132643,1
25415,0
50005,0
186275,1
145091,1
103946,0
47845,0
144486,1
67504,0
97593,0
24369,0
34733,0
11576,0
28396,1
78149,0
66719,0
197088,1
30915,0
132668,1
106019,0
86790,0
210744,1
149721,1
22506,0
159949,1
17925,0
33139,0
87997,0
192918,1
110136,0
30204,0
172943,1
44855,0
142142,1
75631,0
106050,0
107569,0
136857,1
92990,0
172366,1
16369,0
26024,0
106353,0
179222,1
129952,1
21327,1
98243,0
168084,1
15841,0
48870,0
9309,1
180694,1
43417,0
2625,0
163241,1
28817,1
80798,0
8288,0
168021,1
75953,0
6539,0
148703,1
118112,1
38220,0
211801,1
3861,0
131540,1
75829,0
88300,0
14300,0
61183,0
140951,1
93821,0
90119,0
67788,0
203244,1
93560,0
14739,0
152993,1
182588,1
78341,0
113007,0
184075,1
28127,0
170118,1
192487,1
53979,0
56376,0
15351,0
201806,1
197230,1
146298,1
164679,1
3351,0
67063,0
160357,1
114887,0
14477,0
118782,1
183748,1
22275,0
128800,1
91719,0
92696,0
53923,1
77086,0
191655,1
123667,1
186337,1
50030,0
65695,0
4785,0
169129,1
109774,0
151736,1
202265,1
28072,0
13480,0
31899,0
176222,1
108337,0
134231,1
67660,0
178877,1
179865,1
187109,1
194359,1
101695,0
205328,1
4186,0
173008,1
109593,0
141928,1
51681,0
89984,0
176477,1
147023,1
139253,1
140299,1
52851,0
97912,0
180690,1
178138,1
50996,0
89281,0
90912,0
144161,1
187366,1
157912,1
34739,0
63236,0
50291,0
123653,1
202898,1
102783,0
161293,1
163528,1
113470,0
104270,1
112539,1
39086,0
160025,1
33214,0
88446,0
14957,0
61369,0
157100,1
26694,0
199159,1
193601,1
149108,1
187351,1
200226,1
41248,0
73256,0
48516,0
207694,1
130440,1
208339,1
85485,0
125352,1
144611,1
43451,0
177118,1
136710,1
19667,0
206205,1
208674,1
28289,0
22111,0
92851,1
156051,1
89577,0
192219,1
82114,0
197102,1
51296,0
13065,0
63812,0
119920,1
212683,1
206706,1
69455,0
138861,1
4556,1
204503,1
14229,0
74368,0
100454,0
141620,1
21950,0
85672,0
53433,0
86568,0
88864,1
135101,1
28955,0
31377,0
88686,0
85710,0
69395,0
19663,0
154071,1
125192,1
146596,1
117311,0
82249,0
73145,0
98258,0
19801,0
196894,1
105179,0
56956,0
197711,1
22697,1
23031,0
143306,1
197046,1
185976,1
77386,0
24949,0
127709,1
77135,0
69196,0
137618,1
78791,0
211651,1
42590,0
34846,0
16264,0
199183,1
60468,0
121833,1
39213,0
97980,0
141861,1
45526,0
72872,0
157273,1
532,0
41814,0
201346,1
157256,1
193049,1
100346,0
50487,0
24134,0
194882,1
198213,1
84965,0
4172,0
125992,1
46712,0
77593,0
166614,1
176448,1
66205,0
92501,0
150936,1
195179,1
210511,1
128059,1
196589,1
141751,1
122629,1
50972,0
194072,1
15984,0
147617,1
190100,1
127305,1
50254,0
11078,0
48649,0
68544,0
44131,0
164631,1
106030,0
48256,1
110499,0
38407,0
27674,0
185804,1
212256,1
158475,1
42340,0
193810,1
11658,0
101565,1
132220,1
8023,0
84588,0
14173,0
191247,1
135702,1
181475,1
145514,1
175933,1
37942,0
134201,1
155209,1
126943,1
152781,1
151730,1
120311,1
11704,1
6317,0
177310,1
177141,1
207304,1
207035,1
206588,1
57877,0
154971,1
141061,1
66898,0
72640,0
5540,0
196832,1
68141,0
146866,1
152154,1
92023,0
34074,0
138646,1
79408,0
204949,1
198096,1
194676,1
27183,0
195291,1
135821,1
65284,0
179616,1
196344,1
35632,0
198295,1
149698,1
147341,1
172086,1
211743,1
191309,1
48023,0
2603,0
160092,1
57191,0
107577,0
170562,1
66643,0
200468,1
103366,0
143729,1
122898,1
144112,1
121304,1
195491,1
77517,0
40328,1
84136,0
169447,1
205701,1
19858,0
61327,0
26698,0
194968,1
24969,0
140652,1
134097,1
130254,1
136675,1
165463,1
174324,1
53336,0
30928,1
9206,0
152486,1
174163,1
30953,0
171089,1
159059,1
31066,0
91018,0
165414,1
72170,0
43603,0
117190,0
181506,1
3575,1
59879,0
173173,1
132460,1
200548,1
119500,1
101884,0
154450,1
180200,1
164158,1
99543,0
164083,1
161994,1
4198,0
86869,0
104527,0
98129,0
96012,0
20418,0
197399,1
54443,0
42163,0
66481,0
41998,0
33438,0
17286,0
195968,1
165700,1
167125,1
210942,1
172214,1
102596,0
126963,1
124910,1
63036,0
103521,0
38251,0
86730,0
117051,0
208318,1
172917,1
126637,1
7187,0
170084,1
8059,0
65576,0
61574,0
34646,0
100427,0
99297,0
142884,1
113008,0
23405,0
195290,1
77756,0
33657,0
110934,0
7593,0
35483,0
188740,1
114710,0
103264,0
56768,0
118082,1
93517,0
203132,1
58742,1
137659,1
8488,0
170695,1
192110,1
187858,1
101523,0
5323,0
43661,0
175805,1
25997,1
14638,0
209377,1
32168,0
35412,0
84212,0
208491,1
153293,1
150914,1
92853,1
85951,0
183356,1
190529,1
17313,0
74507,0
7418,0
181493,1
150139,1
83504,0
10107,0
147479,1
211774,1
173450,1
56821,0
61611,0
210918,1
123109,1
205315,1
184077,1
144308,1
205358,1
51828,0
145791,1
172354,1
142967,1
83057,0
173246,1
98201,0
52058,0
201922,1
16955,0
107602,0
30340,0
108792,1
200773,1
114472,0
88049,1
34680,0
39074,0
199660,1
163752,1
159311,1
166115,1
152243,1
76914,0
41940,1
74276,0
54369,0
6108,0
111890,0
179284,1
57674,0
100259,0
182010,1
109156,0
203012,1
34962,0
110682,0
46286,0
358,0
17766,0
179152,1
204462,1
104269,0
178627,1
81755,0
129055,1
211650,1
76288,0
22095,1
125704,1
62344,1
139218,1
103322,0
87517,0
170087,1
125609,1
175660,1
173752,1
28415,0
13846,0
1443,0
32530,0
178715,1
64727,0
9235,0
26603,0
142586,1
162830,1
6498,0
67222,0
135020,1
128399,1
85187,0
166709,1
172826,1
182,0
85527,0
85843,0
6969,0
18924,0
167126,1
206425,1
26712,0
55720,0
89845,0
212261,1
133563,1
98978,1
144124,1
173792,1
8453,1
199502,1
126686,1
195326,1
197815,1
125600,1
186379,1
183495,1
27324,0
40732,0
116325,0
48706,0
130777,1
1372,0
8636,0
62908,0
115083,0
163069,1
16579,0
10215,0
16420,1
171575,1
90575,0
48871,1
11024,0
87326,0
125103,1
31637,0
28428,0
77445,1
89247,0
55299,0
49426,0
33101,0
118803,1
60754,0
87188,0
172763,1
134930,1
144078,1
106865,0
109126,0
146008,1
64903,1
142397,1
112686,0
200673,1
34278,0
14168,1
62107,0
106546,0
17972,0
96449,0
118590,1
118135,1
63407,0
157485,1
46142,0
137633,1
92453,1
73520,1
125048,1
208183,1
93835,0
129772,1
190557,1
27246,0
35651,0
55397,0
77679,1
66949,0
70535,1
124428,1
64321,0
74475,0
49487,0
125852,1
104520,0
20683,0
58816,1
148925,1
22229,0
118011,1
80587,0
43725,0
167959,1
37364,0
55658,0
166018,1
15870,0
114986,0
24417,1
169351,1
211781,1
23232,0
64265,0
97209,0
52806,0
173506,1
135711,1
204796,1
39354,0
137789,1
113452,0
27204,0
133081,1
156903,1
203329,1
192244,1
40316,0
6543,0
151529,1
56671,0
105166,0
61770,0
161913,1
146014,1
47726,0
46242,0
161640,1
30310,0
141136,1
27205,0
131133,1
47749,0
33765,1
130755,1
34941,0
169124,1
73464,0
205279,1
156943,1
109057,0
203869,1
162789,1
39450,0
177069,1
182315,1
150456,1
97258,0
156804,1
19020,0
55649,0
61646,0
45827,1
110471,0
57406,1
67119,0
23299,0
18590,0
41613,0
65289,0
123902,1
12742,0
6432,0
62352,0
173517,1
183732,1
88772,0
143890,1
70100,0
76241,0
98230,0
59872,0
3833,0
50370,1
59794,0
188332,1
10371,0
52636,0
65256,1
94762,0
37927,0
121039,1
77308,0
12187,0
2737,0
96218,0
88884,0
163930,1
148875,1
120205,1
24513,1
54832,0
122451,1
48677,0
152796,1
127501,1
74690,0
13084,1
210804,1
203714,1
82982,0
46435,0
165927,1
159243,1
41203,0
51402,0
10416,0
169006,1
204192,1
177302,1
145180,1
210260,1
184728,1
30388,0
180659,1
72319,0
135190,1
11705,0
182536,1
18720,0
124002,1
158236,1
23435,0
102218,0
97650,0
170329,1
84047,1
168128,1
26927,1
107429,1
178101,1
194296,1
28479,0
4027,1
203932,1
206617,1
199186,1
126375,1
75707,0
168271,1
164610,1
196096,1
175647,1
158668,1
85633,0
116418,1
196420,1
70981,0
11044,0
45682,0
108547,0
55699,0
965,0
37586,0
7051,0
68039,0
41068,0
111271,0
149894,1
137670,1
205118,1
163511,1
135889,1
29749,0
3987,0
154001,1
139576,1
67606,0
94866,0
29613,0
191865,1
43836,0
175358,1
140000,1
134676,1
147706,1
150302,1
68174,0
144577,1
123997,1
180724,1
91617,0
93799,0
128942,1
204228,1
88005,0
122496,1
188125,1
27744,0
35243,0
88892,0
92261,0
39334,0
13274,0
151533,1
18844,0
159411,1
32354,0
110908,0
124617,1
142124,1
161841,1
63773,1
84494,0
161273,1
202835,1
22496,0
26094,0
173788,1
75999,0
155311,1
207066,1
37112,0
16789,0
162575,1
94987,0
166646,1
126495,1
208456,1
105631,0
207082,1
42218,0
31344,0
151850,1
24874,0
144306,1
126507,1
40752,0
105239,0
155108,1
103876,0
75702,0
211472,1
22788,0
14982,0
202852,1
92544,0
138795,1
191987,1
156306,1
29909,0
84543,0
159050,1
107976,0
102151,0
109719,0
8648,0
20228,0
68956,0
146825,1
22526,0
82111,0
141317,1
145079,1
68822,1
39728,1
52622,0
137360,1
81449,0
98033,0
89290,0
141402,1
21838,0
179999,1
68729,0
26593,0
100447,0
49226,0
46196,0
51197,0
11402,0
135139,1
72886,0
187849,1
30153,0
189438,1
16827,0
59540,0
205273,1
8671,0
65999,0
127801,1
173530,1
85575,0
128174,1
32661,0
190771,1
92977,0
61028,0
2194,1
183194,1
98443,0
20040,0
79857,0
123897,1
62773,0
145885,1
105549,0
205064,1
10205,0
109174,0
7582,0
134373,1
13148,0
10615,0
160088,1
111931,0
24572,1
63200,0
183247,1
71195,0
203947,1
107933,0
50037,0
209917,1
86948,0
194755,1
39789,0
75583,0
61004,0
98139,0
43653,0
174146,1
195792,1
66248,0
201985,1
35096,0
113236,0
135385,1
78933,0
64360,0
2426,1
169868,1
178503,1
11186,0
48102,0
197739,1
119338,1
126620,1
115491,0
120882,1
195758,1
164104,1
185492,1
24617,0
136085,1
104790,0
169952,1
170229,1
86168,0
130198,1
182571,1
122853,1
144276,1
123832,1
75132,1
35806,0
74966,0
147456,1
51156,0
69994,0
28188,0
133504,1
10182,0
117342,0
131738,1
185270,1
177981,1
164719,1
150330,1
13407,0
140067,1
209794,1
58419,0
142474,1
155482,1
30176,0
91382,0
11553,1
185398,1
128827,1
47071,0
12774,0
173835,1
162749,1
3772,0
133276,1
212493,1
50142,1
2685,0
159455,1
128879,1
131810,1
52688,0
179646,1
187199,1
195056,1
180473,1
164846,1
21897,0
150518,1
122042,1
131688,1
139203,1
137768,1
50639,0
39844,0
1861,0
12620,0
77558,0
172803,1
3563,0
71855,0
65070,0
107953,0
170232,1
2049,0
3125,0
54426,0
108975,0
74192,0
140237,1
111893,0
177471,1
186862,1
156826,1
19536,0
145371,1
14637,0
110026,0
26173,0
177110,1
182594,1
39340,0
200723,1
157569,1
134107,1
64715,1
63467,0
115483,0
176309,1
210076,1
73173,0
74533,0
174255,1
138003,1
78974,0
81355,0
122764,1
113780,0
1088,0
17750,0
124736,1
96094,0
184201,1
212151,1
112378,0
32260,0
60612,0
17965,0
437,0
74251,0
14504,1
118298,1
203217,1
82730,0
113817,0
149267,1
94215,0
78942,0
193208,1
153726,1
75448,0
35388,0
142556,1
129689,1
153861,1
166498,1
161828,1
147168,1
6624,0
27836,0
111337,0
119633,1
37618,0
188142,1
62666,0
54146,0
175708,1
147229,1
140860,1
75062,0
141027,1
155056,1
35178,0
120028,1
200495,1
176574,1
49839,0
45373,0
111122,0
25409,0
75336,0
45896,1
6165,0
28816,0
103822,0
82019,0
201052,1
12683,0
84322,1
142139,1
12433,0
94290,0
74605,0
37404,0
207285,1
145246,1
118062,1
143899,1
179783,1
136563,1
63782,0
2177,0
9616,0
6781,0
54294,0
16672,0
9648,0
12799,1
158005,1
97957,1
85097,0
43823,0
206805,1
201113,1
130650,1
56684,0
197215,1
29284,0
29953,0
136139,1
103537,0
105467,0
90574,0
102089,0
13297,0
44232,0
136420,1
69329,0
120799,1
122461,1
142013,1
177638,1
46153,0
192661,1
177086,1
37186,0
73094,0
37581,0
200550,1
52080,0
91175,0
188452,1
141572,1
86595,0
69107,0
168576,1
73560,0
155429,1
67201,0
76906,1
168239,1
149684,1
2942,0
178586,1
110431,0
79440,0
174512,1
27934,0
153387,1
189515,1
16717,0
37125,0
145008,1
181217,1
23227,0
79243,0
203306,1
171255,1
80178,0
168076,1
177342,1
133463,1
209034,1
160140,1
153524,1
202536,1
35520,0
179711,1
63159,0
198739,1
49248,0
76435,0
91691,1
140234,1
78473,0
9658,0
149806,1
34410,0
4762,0
74315,0
87735,0
95549,0
133277,1
73388,0
27552,0
173354,1
192850,1
213046,1
55947,0
135279,1
168192,1
67765,0
132591,1
71046,0
177441,1
176523,1
59729,0
192568,1
128247,1
84670,0
54923,0
45495,0
157200,1
35360,0
105172,0
87665,0
130055,1
64704,0
3758,0
200680,1
78436,0
156356,1
161404,1
47169,0
52319,0
120316,1
133948,1
34834,1
91780,0
63940,0
177716,1
95902,0
200160,1
181563,1
150880,1
3115,0
21336,0
191350,1
170477,1
132951,1
116484,1
143114,1
10343,0
90370,0
124335,1
4493,0
32131,0
94622,0
124180,1
163373,1
36165,0
187209,1
203952,1
96569,1
1747,0
194091,1
108525,0
54873,0
38633,1
73249,0
35615,0
201832,1
177022,1
22288,0
204095,1
184941,1
55850,0
97336,0
165427,1
178440,1
30357,0
121473,1
136259,1
199864,1
11469,0
23148,0
69677,0
114737,1
97133,0
74065,0
164413,1
41062,1
119988,1
198911,1
75321,0
118495,1
180520,1
204248,1
199850,1
17262,0
57850,1
130548,1
26860,0
34219,0
27194,0
81476,0
211013,1
197888,1
11582,0
145365,1
136359,1
99382,0
208853,1
109868,0
115941,0
70501,1
98056,0
180642,1
118555,1
6573,0
55774,0
208290,1
103441,0
208292,1
60603,0
85792,0
78967,0
117300,0
50856,0
125195,1
195941,1
174278,1
77178,0
22239,0
101697,0
798,0
73024,0
43855,0
52716,0
69376,0
69185,0
61531,0
92738,0
23170,0
93804,0
160126,1
181968,1
11530,0
11066,0
193648,1
207966,1
106382,0
183993,1
147940,1
159309,1
150363,1
138424,1
88031,0
38001,0
121186,1
37143,0
211785,1
196477,1
6502,0
135682,1
119207,1
128473,1
35936,0
80791,0
83373,1
143975,1
130492,1
196017,1
48662,0
124792,1
164239,1
14731,1
162998,1
145937,1
114424,0
80208,0
187546,1
4940,0
131091,1
76704,0
177842,1
149051,1
114353,0
206911,1
153490,1
211598,1
15714,0
131216,1
15206,0
68650,0
180633,1
93622,0
178892,1
165762,1
93533,0
65159,0
85432,0
70020,0
105470,0
126005,1
153032,1
124314,1
190898,1
163559,1
158723,1
135507,1
59288,1
115726,0
43544,0
154420,1
133187,1
167887,1
46119,0
174500,1
110885,0
55875,0
25227,0
13943,0
58368,0
17626,0
10406,0
10228,0
208006,1
109563,0
162712,1
156828,1
110245,0
93013,0
100551,0
131035,1
54972,0
164597,1
94692,0
11665,0
93328,0
167350,1
188253,1
81975,0
134453,1
43150,0
208652,1
48161,0
131634,1
193750,1
199188,1
80,0
7666,0
62025,0
63522,0
106764,0
27656,0
54434,0
24388,1
53581,0
88045,0
142427,1
150444,1
75827,0
61244,0
54205,0
142056,1
117711,1
39649,0
3495,0
96031,0
210473,1
20216,0
3015,1
143027,1
181802,1
176993,1
92187,0
210760,1
206715,1
122975,1
161045,1
110727,0
123878,1
204365,1
161392,1
101419,0
110399,0
62566,1
649,0
171646,1
191721,1
121199,1
149527,1
108799,0
4810,0
176051,1
166062,1
86485,1
88048,0
206480,1
111154,0
179053,1
212773,1
33598,0
146378,1
135584,1
33791,0
20602,0
27842,0
45965,0
41806,0
120564,1
25690,0
84376,1
9931,0
202823,1
204676,1
173973,1
20767,0
44535,0
162214,1
113270,0
193394,1
60897,0
104888,1
184407,1
130822,1
108921,0
68730,0
61116,0
103966,0
195587,1
130026,1
50507,0
56851,0
5009,1
105020,0
51381,0
181503,1
124217,1
153759,1
109074,0
33994,0
13366,0
75050,0
56721,0
32442,0
7261,1
127195,1
62604,0
154943,1
205368,1
78339,1
185982,1
138027,1
116367,0
3605,0
178539,1
194739,1
22327,0
78479,0
149614,1
94259,0
9418,0
160030,1
90434,0
178675,1
48693,0
62178,0
163530,1
90549,0
27540,0
142698,1
143976,1
209127,1
116371,0
11317,0
127622,1
4579,0
79541,0
29384,0
179380,1
173695,1
21024,0
174285,1
160329,1
23296,0
102360,0
61390,0
100137,1
60066,0
91581,0
202847,1
27661,0
54477,0
148191,1
176897,1
189077,1
196900,1
50393,0
79832,0
144277,1
100013,0
205803,1
65511,0
169032,1
117258,0
141333,1
170968,1
4381,0
13547,0
11309,0
165266,1
111531,0
10160,0
73463,0
612,0
104181,0
59510,0
85085,0
191661,1
182970,1
159822,1
88851,0
116004,0
63285,0
201028,1
40913,0
138652,1
167613,1
213177,1
158928,1
60158,0
59621,0
199650,1
75035,0
42811,0
110841,0
62861,0
84007,0
135911,1
77901,0
38768,0
46135,0
87530,0
170285,1
168077,1
209995,1
185708,1
179818,1
122154,1
135559,1
166501,1
204860,1
95435,0
182944,1
117931,1
208770,1
82284,0
147121,1
47828,1
164366,1
168565,1
24607,0
151555,1
201581,1
59139,0
45976,0
25189,0
190711,1
117142,0
187636,1
189184,1
137576,1
19720,0
5921,0
71091,0
137270,1
135674,1
31326,0
189837,1
184605,1
203593,1
104803,0
147958,1
129771,1
156518,1
159363,1
31667,0
92978,0
38783,0
122044,1
86461,1
122602,1
8869,0
118224,1
94801,0
123966,1
157391,1
51558,1
59186,0
169056,1
113602,0
61025,1
73602,0
74152,0
2845,0
105318,0
43057,0
100147,0
11901,1
76962,0
189848,1
14623,0
192222,1
64327,0
97197,0
164019,1
92224,0
75162,0
96814,0
89492,0
21293,0
157144,1
62279,0
185344,1
27657,0
98255,0
61534,0
109851,0
152938,1
30503,0
46302,0
120425,1
205258,1
31859,1
173534,1
209893,1
51291,0
109404,0
27901,1
77472,0
28200,0
57412,0
78756,0
97817,0
9902,0
176480,1
86460,0
97673,0
62580,0
77561,1
108195,0
69841,0
53589,0
129594,1
85761,0
79049,0
127285,1
193169,1
68290,0
90149,0
119809,1
192433,1
63369,0
138321,1
208177,1
47047,0
162562,1
112891,0
162995,1
160422,1
180765,1
212515,1
164489,1
67352,0
192202,1
11783,0
193567,1
71648,1
113029,0
79032,0
199694,1
99269,0
40970,0
7291,0
170893,1
62044,0
173210,1
210498,1
84782,0
76550,0
31322,0
4764,0
143139,1
108674,0
205112,1
198707,1
83814,0
2107,0
176973,1
136601,1
80921,0
123365,1
75920,0
161053,1
139529,1
112614,1
112901,0
116354,0
115211,0
172065,1
184218,1
156528,1
150447,1
76755,0
66814,0
65292,0
87215,1
37373,0
103979,0
50958,0
139851,1
50572,0
11916,0
94483,1
160522,1
48448,0
209799,1
21606,0
146188,1
138196,1
30250,1
101607,0
166528,1
181954,1
119067,1
74031,0
42737,0
174175,1
37284,0
206794,1
168445,1
47469,0
117457,0
32182,0
21590,0
107299,0
78435,0
157252,1
42518,0
185330,1
133565,1
149444,1
116262,0
185185,1
203543,1
179709,1
180848,1
17123,0
49596,0
78280,0
18491,0
181141,1
43399,0
184916,1
173951,1
28201,0
209282,1
16891,0
183901,1
2087,0
123588,1
50827,0
54618,0
132536,1
212944,1
31102,0
87456,1
41661,0
111224,0
91910,0
108552,0
41257,0
23849,0
71286,0
12310,0
16305,0
196482,1
91454,0
82693,0
202168,1
67678,0
155070,1
164163,1
108105,0
39894,0
15379,0
62683,0
8487,0
109927,0
3377,0
7134,0
101363,0
115417,0
186777,1
157842,1
76837,1
134752,1
144651,1
120916,1
79025,0
165895,1
53622,0
148101,1
65534,1
151544,1
89513,0
196647,1
94809,0
111755,0
25492,0
127469,1
190993,1
178879,1
58842,1
49626,0
77417,0
187425,1
65692,0
40818,0
120049,1
183709,1
89801,0
90870,0
2351,0
203109,1
98830,0
139528,1
156493,1
102355,1
89245,0
101539,0
99305,0
115588,0
213087,1
13506,1
7149,0
59689,0
147651,1
27758,0
397,1
46773,0
212518,1
202017,1
152555,1
187988,1
77601,0
42709,0
120222,1
46159,0
72174,0
104107,0
142486,1
201078,1
2689,1
8022,0
153871,1
71212,0
187703,1
120596,1
88517,0
71083,0
122988,1
172565,1
41740,0
103151,0
35724,0
173494,1
128985,1
70850,0
150707,1
170479,1
96230,0
212998,1
91521,0
63997,0
205446,1
154140,1
46859,0
177656,1
85809,0
211181,1
116013,0
173472,1
134784,1
182172,1
54480,1
91160,0
24985,0
207166,1
100899,1
197446,1
137257,1
20173,0
77278,0
19444,0
32255,0
152677,1
194145,1
5564,0
192669,1
120272,1
125930,1
97968,0
60568,0
52332,1
179640,1
59847,0
185621,1
68235,1
8591,0
77552,0
151219,1
192966,1
48158,0
200536,1
62595,0
147756,1
209739,1
8510,1
107284,0
120378,1
5609,0
70820,1
35624,0
180269,1
5667,0
123095,1
162951,1
147549,1
21561,0
130507,1
197397,1
73768,0
121973,1
121982,1
212694,1
172033,1
40259,0
33364,0
103545,0
39456,0
3606,0
70510,0
3310,0
36876,0
69339,0
4820,1
47730,0
89082,1
181610,1
105331,0
41122,0
4643,0
183723,1
32250,0
127132,1
198856,1
90698,0
12717,0
59742,0
181096,1
59939,1
177390,1
105016,0
173587,1
60350,0
35136,0
102029,0
16231,0
201159,1
130262,1
44432,0
74660,0
146084,1
72017,0
201523,1
138072,1
104442,0
175137,1
73739,0
69019,0
35686,0
124465,1
24108,0
37048,0
4051,0
113206,0
57469,0
69515,0
113761,0
59948,0
33803,0
465,1
207378,1
212540,1
37990,0
184858,1
186244,1
123264,1
87374,0
129179,1
175033,1
45748,0
149160,1
156083,1
45235,0
140217,1
138737,1
100233,0
52665,0
119200,1
40895,0
81910,0
112718,1
150384,1
5742,0
21678,0
166633,1
74794,0
90788,0
154260,1
467,0
9203,0
190418,1
180972,1
124763,1
185152,1
124711,1
155935,1
42949,0
137292,1
111766,0
67758,1
178923,1
184594,1
177273,1
78202,0
44207,0
13631,0
35586,0
85201,0
211004,1
71293,0
152915,1
100200,0
92861,0
92299,0
460,0
180210,1
173612,1
180919,1
162045,1
56299,0
146629,1
91171,0
61747,0
176925,1
160915,1
110442,0
44386,0
139435,1
32049,0
17134,0
193653,1
177226,1
209840,1
74523,0
169201,1
49583,1
118605,1
51622,0
166525,1
182685,1
198065,1
19668,0
169829,1
107547,0
148148,1
81832,0
158339,1
124405,1
162031,1
185143,1
156940,1
184760,1
53143,0
95075,0
184679,1
200220,1
56975,0
22216,0
203658,1
4117,0
90085,0
180654,1
127342,1
144019,1
90137,0
40323,0
120125,1
212115,1
20127,0
45803,0
149742,1
71906,0
49466,0
69032,1
87531,0
21569,0
198538,1
590,0
81561,0
25452,0
151066,1
159628,1
170984,1
199785,1
25325,0
2144,0
206875,1
146736,1
151480,1
55327,0
122054,1
105279,0
113166,0
139196,1
31180,0
56239,0
111849,0
6018,0
160907,1
201221,1
126795,1
55772,0
150557,1
197718,1
20160,1
173830,1
141812,1
25935,0
48072,0
203576,1
194677,1
7296,0
104538,0
34359,0
188022,1
75054,0
188143,1
148666,1
113956,0
178656,1
113672,0
115885,0
195474,1
148573,1
209333,1
53978,0
46332,0
41758,0
151699,1
37036,0
69714,0
134510,1
8965,0
59408,0
154,1
10829,0
115454,1
138739,1
16222,0
129917,1
211006,1
44317,0
192970,1
37231,0
92032,0
125528,1
74184,0
55125,0
67873,0
183787,1
119629,1
202371,1
148181,1
55469,0
5890,0
131597,1
62416,0
13314,0
189520,1
110587,0
175555,1
61266,0
150174,1
154941,1
89632,0
18913,0
2464,0
20306,0
172948,1
50781,0
52928,0
175739,1
70099,0
180771,1
189091,1
190906,1
159799,1
143765,1
2734,0
29710,0
5680,0
112605,0
36625,0
170629,1
27334,0
34019,0
35831,0
94185,0
59863,0
191819,1
151363,1
34115,0
198300,1
199111,1
53225,0
182677,1
110247,0
157133,1
203407,1
113449,0
78625,0
37154,0
168255,1
77856,0
85164,0
102419,0
19825,0
88930,0
33300,0
166356,1
79498,0
195642,1
83501,0
58373,0
45088,1
118579,1
172119,1
63497,0
147354,1
105174,0
177468,1
129897,1
188417,1
72697,0
36725,0
88525,1
202596,1
80712,0
185631,1
161401,1
157778,1
186525,1
134460,1
117864,1
4322,0
118543,1
109076,0
176081,1
111859,0
176134,1
197451,1
10127,0
131516,1
14794,0
96634,0
104166,0
5535,0
125257,1
38936,0
46781,0
76170,1
155262,1
148669,1
127576,1
119423,1
64720,0
3456,0
157369,1
92685,0
196125,1
143897,1
202096,1
92684,0
65328,1
105370,0
85781,0
156219,1
6581,1
335,0
101479,0
149599,1
64883,0
163939,1
38987,0
99253,0
145676,1
195634,1
49035,0
64160,0
172762,1
27413,0
92068,0
148744,1
4203,0
169432,1
153428,1
198966,1
195710,1
79536,1
168736,1
33225,0
101615,0
2323,0
184316,1
204574,1
3526,0
142682,1
198544,1
137195,1
93028,0
179232,1
59113,0
50662,0
46160,0
176741,1
76525,0
128195,1
170935,1
98473,0
153489,1
22416,0
164555,1
156680,1
152291,1
20915,0
59679,0
14467,0
165056,1
1642,0
154415,1
32108,0
82908,1
36874,1
172559,1
48194,0
91790,0
43483,0
187559,1
104535,0
151369,1
207436,1
168890,1
67406,0
6419,0
93268,0
197486,1
55724,0
124341,1
61636,0
